,GPU MODEL,VRAM,H/s,APP,OS,TDP,DATE,GPU MODEL SPLIT
295,SAPPHIRE RX 580 NITRO+ SPECIAL EDITION,8 GB DDR5,1000,XMR-STAK 2.1,WINDOWS 10 x64,100 W,"Dec, 2017.",['SAPPHIRE RX 580 NITRO+ SPECIAL EDITION']
296,POWERCOLOR RX480 8GB RED DEVIL(STOCK SETTING) + MSI R7 260X 1GB(STOCK SETTING) + I5 3330 3.0GHZ (OC TO 3.4GHZ),8 GB DDR5,1000,XMR-STAK - MONERO/AEON ALL-IN-ONE,WINDOWS 10 x64,N/A,"Dec, 2017.","['POWERCOLOR RX480 8GB RED DEVIL(STOCK SETTING)', 'MSI R7 260X 1GB(STOCK SETTING)', 'I5 3330 3.0GHZ (OC TO 3.4GHZ)']"
297,XFX RX 580,8 GB DDR5,990,CLAYMORE 10.2,UBUNTU 16.04 x64,85 W,"Dec, 2017.",['XFX RX 580']
298,MSI R9 390,8 GB DDR5,980,CLAYMORE CRYPTONOTE AMD GPU MINER V10.2 BETA,WINDOWS 10 x64,N/A,"Dec, 2017.",['MSI R9 390']
299,RX 570 NITRO+ OC 8GB,8 GB DDR5,980,XMR STAK,WINDOWS 10 x64,75 W,"Dec, 2017.",['RX 570 NITRO+ OC 8GB']
300,NVIDIA TITAN X PASCAL,12 GB DDR5,977,XMR STAK NVIDIA,WINDOWS 7 x64,N/A,"Jun, 2017.",['NVIDIA TITAN X PASCAL']
301,RADEON VEGA 64 WATER COOLED,8 GB HBM2 MEMORY,977,MINERGATE 7.0,WINDOWS 10 x64,N/A,"Nov, 2017.",['RADEON VEGA 64 WATER COOLED']
302,MSI RADEON RX 480 GAMING X 8G (1144CLOCK/2180MEMORY) AND XFX RX 460 2G (1090CLOCK/1800MEMORY),8 GB DDR5,976,"CLAYMORE'S CRYPTONIGHT GPU MINER (AMD 17.1.1 RADEON DRIVERS, AFTERBURNER V4.3.0)",WINDOWS 10 x64,N/A,"Sep, 2017.",['MSI RADEON RX 480 GAMING X 8G (1144CLOCK/2180MEMORY) AND XFX RX 460 2G (1090CLOCK/1800MEMORY)']
303,SAPPHIRE RX VEGA 64,8 GB HBM MEMORY,975,XMR STAK AMD,WINDOWS 10 x64,N/A,"Nov, 2017.",['SAPPHIRE RX VEGA 64']
304,R9 FURY SAPPHIRE NITRO,4 GB HBM MEMORY,965,"XMR STAK AMD | 1000, 800 INTENSITIES; WORKSIZE 8| BLOCKCHAIN DRIVER GPU+10%, PWR LIMIT -20%",WINDOWS 10 x64,90 W,"Dec, 2017.",['R9 FURY SAPPHIRE NITRO']
305,XFX RX 580,8 GB DDR5,956,"XMR-STAK 1300/2160, 950MV, POWERSTAGE 6",UBUNTU 16.04 x64,81 W,"Dec, 2017.",['XFX RX 580']
306,RX 580 8G,8 GB DDR5,950,XMR-STAK-AMD,OTHER LINUX OS x64,116 W,"Sep, 2017.",['RX 580 8G']
307,"SAPPHIRE NITRO + RX 570 8GO (RAM SAMSUNG/MICRON, CORE:1350MHZ RAM:1950MHZ  BIOS MOD GRAM 2100MHZ 925MV  TIMING AUTO PBE 1.6)",8 GB DDR5,950,CLAYMORE XMR 10.2,WINDOWS 10 x64,N/A,"Dec, 2017.","['SAPPHIRE NITRO', 'RX 570 8GO (RAM SAMSUNG/MICRON, CORE:1350MHZ RAM:1950MHZ  BIOS MOD GRAM 2100MHZ 925MV  TIMING AUTO PBE 1.6)']"
308,SAPPHIRE NITRO+ RX 580 [MICRON MEMORY],8 GB DDR5,950,CAST XMR 0.8 - UBERMIX 3.1 - P7_1366/1150 P2_2250/1050 FAN1800/3200 TEMP67/82,WINDOWS 10 x64,115 W,"Dec, 2017.",['SAPPHIRE NITRO+ RX 580 [MICRON MEMORY]']
309,SAPPHIRE RADEON DUAL-X R9 270 & GIGABYTE R9 270X OVERCLOCKED,2 GB DDR5,950,CLAYMORE,WINDOWS 10 x64,N/A,"Dec, 2017.",['SAPPHIRE RADEON DUAL-X R9 270 & GIGABYTE R9 270X OVERCLOCKED']
310,R9 390,8 GB DDR5,946,CLAYMORE'S AMD 10.2 BETA POOL,WINDOWS 10 x64,250 W,"Dec, 2017.",['R9 390']
311,RX VEGA 56 HIS,8 GB HBM2 MEMORY,945,SGMINER,WINDOWS 10 x64,150 W,"Aug, 2017.",['RX VEGA 56 HIS']
312,ASUS R9 390,8 GB DDR5,940,SGMINER-GM 5.5.5 1150/1500 MEMMOD -G2 -W8 -RI640,WINDOWS 10 x64,225 W,"Jan, 2017.",['ASUS R9 390']
313,1080 TI ASUS STRIX OC,11 GB DDR5,940,XMR-STAK-NVIDIA,WINDOWS 10 x64,130 W,"Aug, 2017.",['1080 TI ASUS STRIX OC']
314,GTX 760 + GTX 760 + GTX 750TI LP,2 GB DDR5,940,XMR MINER 18X32 18X32 15X32,WINDOWS 7 x64,260 W,"Dec, 2017.","['GTX 760', 'GTX 760', 'GTX 750TI LP']"
315,R9-390 G1,8 GB DDR5,940,CLAYMORE 10.2,WINDOWS 10 x64,N/A,"Dec, 2017.",['R9-390 G1']
316,POWERCOLOR RED DEVIL RX 570,4 GB DDR5,939,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.",['POWERCOLOR RED DEVIL RX 570']
317,SAPHIRE TRIX R9 290 (TDP 183MAX AVR 130WATT GPU 1215 MEM 1500),4 GB DDR5,934,"XMR-STAK-AMD (mod bios gpu to 1215 mem 1500, intensity 1350)",WINDOWS 10 x64,130 W,"Sep, 2017.",['SAPHIRE TRIX R9 290 (TDP 183MAX AVR 130WATT GPU 1215 MEM 1500)']
318,MSI 290X GAMING,4 GB DDR5,930,CLAYMORE 9.7  (1150/1375  BIOS MOD),WINDOWS 7 x64,N/A,"Feb, 2017.",['MSI 290X GAMING']
319,AMD R9 FURY 1100 CORE,4 GB HBM MEMORY,930,CLAYMORE'S CRYPTONIGHT V9.7 - 16.3.2 DRIVERS,WINDOWS 10 x64,N/A,"Nov, 2017.",['AMD R9 FURY 1100 CORE']
320,NVIDIA GEFORCE GT 520,1 GB DDR3,925,MINERGATE V.6.8,WINDOWS 7 x64,N/A,"Jul, 2017.",['NVIDIA GEFORCE GT 520']
321,POWERCOLOR RX 570 REDDRAGON,4 GB DDR3,924,CLAYMORE 10.2 BETA,WINDOWS 10 x64,130 W,"Nov, 2017.",['POWERCOLOR RX 570 REDDRAGON']
322,POWERCOLOR R9 NANO,4 GB DDR3,924,XMR-STAK-AMD 1000/4 2 THREADS,UBUNTU 16.04 x64,155 W,"Dec, 2017.",['POWERCOLOR R9 NANO']
323,XFX R9 390,8 GB DDR5,920,SGMINER-GM 5.5.5 1150/1500 MEMMOD -G2 -W8 -RI640,WINDOWS 10 x64,225 W,"Jan, 2017.",['XFX R9 390']
324,MSI R9 390,8 GB DDR5,917,CLAYMORE CRYPTONOTE AMD GPU MINER V11.0,WINDOWS 10 x64,150 W,"Dec, 2017.",['MSI R9 390']
325,MSI RX 580 GAMING X 4G (ELPIDA) FLASHED VBIOS,4 GB DDR5,914,CLAYMORE CRYPTONOTE AMD GPU MINER V10.2 BETA,WINDOWS 7 x64,115 W,"Dec, 2017.",['MSI RX 580 GAMING X 4G (ELPIDA) FLASHED VBIOS']
326,XFX 7990,6 GB DDR5,910,CLAYMORE V9.7,WINDOWS 8.1 x64,N/A,"Jul, 2017.",['XFX 7990']
327,2X RX 550 W/ CUSTOM ELPIDA TIMINGS,2 GB DDR5,910,XMR-STAK-AMD,WINDOWS 10 x64,70 W,"Dec, 2017.",['2X RX 550 W/ CUSTOM ELPIDA TIMINGS']
328,MSI RX 570 GAMING X ELPIDA (1020V/1200C/2070M),4 GB DDR5,905,CLAYMORE 10.2,ETHOS 1.2.0,N/A,"Dec, 2017.",['MSI RX 570 GAMING X ELPIDA (1020V/1200C/2070M)']
329,ASUS STRIX R9 390X,8 GB DDR5,905,CLAYMORE CRYPTONOTE GPU MINER 10.2,WINDOWS 7 x64,N/A,"Dec, 2017.",['ASUS STRIX R9 390X']
330,SAPPHIRE RX 580 NITRO+ 8GD5 SPECIAL EDITION,8 GB DDR5,904,CLAYMORE 9.7 (MOD BIOS GPU 1266/ MEM 2000),WINDOWS 10 x64,116 W,"Oct, 2017.",['SAPPHIRE RX 580 NITRO+ 8GD5 SPECIAL EDITION']
331,SAPPHIRE R9 390X,8 GB DDR5,902,CLAYMORE 10.2 BETA,WINDOWS 10 x64,N/A,"Dec, 2017.",['SAPPHIRE R9 390X']
332,ASUS 1080 TI TURBO,11 GB DDR5,902,MINERGATE V7.1,WINDOWS 10 x64,231 W,"Dec, 2017.",['ASUS 1080 TI TURBO']
333,GTX 1080TI AORUS,11 GB DDR5,900,"XMR-STAK-NVIDIA, B=56, T=83",WINDOWS 10 x64,150 W,"Jun, 2017.",['GTX 1080TI AORUS']
334,AMD RADEON RX VEGA 64,8 GB HBM2 MEMORY,900,SGMINER,WINDOWS 7 x64,N/A,"Aug, 2017.",['AMD RADEON RX VEGA 64']
335,GTX 1080 STRIX,8 GB DDR5,900,XMRMINER,WINDOWS 10 x64,N/A,"Aug, 2017.",['GTX 1080 STRIX']
336,1080TI,11 GB DDR5,900,MINERGATE,WINDOWS 7 x64,N/A,"Sep, 2017.",['1080TI']
337,"EVGA 1080 TI SC BLACK (-200MHZ CORE, +800MHZ MEMORY, 70% POWER TARGET)",11 GB DDR5,895,XMR-STAK,WINDOWS 10 x64,250 W,"Dec, 2017.","['EVGA 1080 TI SC BLACK (-200MHZ CORE, +800MHZ MEMORY, 70% POWER TARGET)']"
338,XFX R9 290X REF MOD BIOS G1255/M1500,4 GB DDR5,894,XMR-STAK-AMD,WINDOWS 10 x64,148 W,"Sep, 2017.",['XFX R9 290X REF MOD BIOS G1255/M1500']
339,SAPPHIRE 11266-04-20G RADEON PULSE RX 570 (BIOS MOD/GPU 1350/MEM 1950),4 GB DDR5,891,CAST-XMR 0.8.0,WINDOWS 10 x64,90 W,"Jan, 2018.",['SAPPHIRE 11266-04-20G RADEON PULSE RX 570 (BIOS MOD/GPU 1350/MEM 1950)']
340,MSI RX 470 ARMOR 4G OC,4 GB DDR5,890,CLAYMORE'S CRYPTONOTE GPU MINER V9.7,WINDOWS 7 x64,100 W,"Jul, 2017.",['MSI RX 470 ARMOR 4G OC']
341,AMD R9 FURY X (BLOCKCHAIN DRIVER),4 GB HBM MEMORY,890,XMR-STAK,WINDOWS 10 x64,145 W,"Dec, 2017.",['AMD R9 FURY X (BLOCKCHAIN DRIVER)']
342,R9 290 TRI-X OC,4 GB DDR5,885,"CLAYMORE 10.2, AMD DRIVERS 17.11, CLOCK 1134/1634, +55MV, +50% POWER LIMIT",WINDOWS 7 x64,N/A,"Dec, 2017.",['R9 290 TRI-X OC']
343,SAPPHIRE PULSE RX 580 8GB,4 GB DDR5,884,CAST-XMR,WINDOWS 10 x64,107 W,"Dec, 2017.",['SAPPHIRE PULSE RX 580 8GB']
344,ASUS R9 390,8 GB DDR5,880,CLAYMORE CRYPTONOTE 9.6. OC1150,WINDOWS 7 x64,220 W,"Jan, 2017.",['ASUS R9 390']
345,SAPPHIRE NITRO+ RX 480 8GB SAMSUNG 1280/2125 BIOS MOD,8 GB DDR5,880,SGMINER-GM 5.5.5  2/4/512,WINDOWS 7 x64,N/A,"Sep, 2017.",['SAPPHIRE NITRO+ RX 480 8GB SAMSUNG 1280/2125 BIOS MOD']
346,R9 390,8 GB DDR5,880,CLAYMORE 9.7,WINDOWS 10 x64,220 W,"Sep, 2017.",['R9 390']
347,SAPPHIRE RADEON RX 470 MINING,4 GB DDR3,880,SGMINER 5.5.5  CORE 1206 - MEM 1750MHZ,WINDOWS 10 x64,80 W,"Nov, 2017.",['SAPPHIRE RADEON RX 470 MINING']
348,"MSI RX580 (ONE-CLICK POLARIS BIOS MOD, 2 THREADS INTENSITY 512 WORKSIZE 8 AFFINE CPU YES)",8 GB DDR5,880,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.","['MSI RX580 (ONE-CLICK POLARIS BIOS MOD, 2 THREADS INTENSITY 512 WORKSIZE 8 AFFINE CPU YES)']"
349,WATERCOOLED ASUS STRIX R9 390X,8 GB DDR5,880,CLAYMORE XMR V11.0,WINDOWS 10 x64,N/A,"Dec, 2017.",['WATERCOOLED ASUS STRIX R9 390X']
350,POWERCOLOR RED DRAGON RX480 WITH RX580 UBER3.1 BIOS + BETA BLOCKCHAIN DRIVER,8 GB DDR5,878,CLAYMORE CRYPTONOTE 9.7,WINDOWS XP x64,N/A,"Nov, 2017.","['POWERCOLOR RED DRAGON RX480 WITH RX580 UBER3.1 BIOS', 'BETA BLOCKCHAIN DRIVER']"
351,AMD R9 NANO  1100 MHZ,4 GB HBM MEMORY,870,CLAYMORE 9.3,WINDOWS 7 x64,175 W,"Sep, 2016.",['AMD R9 NANO  1100 MHZ']
352,2X HIS RADEON HD 7950,6 GB DDR5,870,CLAYMORE CRYPTONOTE GPU MINER V9.7,WINDOWS 10 x64,400 W,"May, 2017.",['2X HIS RADEON HD 7950']
353,GIGABYTE R9 290X,4 GB DDR5,870,CLAYMORE 9.7,WINDOWS 10 x64,295 W,"Aug, 2017.",['GIGABYTE R9 290X']
354,AMD FURY X @1100MHZ,4 GB HBM MEMORY,870,XMR-STAK-AMD,WINDOWS 7 x64,N/A,"Sep, 2017.",['AMD FURY X @1100MHZ']
355,MSI RX 470 ARMOR 4G OC,4 GB DDR5,866,XMR-STAK-AMD (SAMSUNG UBER-MIX + OVERCLOCK),WINDOWS 7 x64,70 W,"Jul, 2017.",['MSI RX 470 ARMOR 4G OC']
356,XFX RX 570 OC+,4 GB DDR5,866,XMR-STAK-AMD,WINDOWS 10 x64,90 W,"Dec, 2017.",['XFX RX 570 OC+']
357,GIGABYTE R9 390X,8 GB DDR5,865,CLAYMORE 9.6B,WINDOWS 10 x64,250 W,"Dec, 2016.",['GIGABYTE R9 390X']
358,SAPPHIRE PULSE RX 570 4GB,4 GB DDR5,865,XMR-STAK-AMD,UBUNTU 16.04 x64,80 W,"Sep, 2017.",['SAPPHIRE PULSE RX 570 4GB']
359,RX 580 MSI GAMING X,4 GB DDR5,865,CLAYMORE 10.2,WINDOWS 10 x64,80 W,"Nov, 2017.",['RX 580 MSI GAMING X']
360,POWERCOLOR RX 580,4 GB DDR5,865,CLAYMORE 10.2,UBUNTU 16.04 x64,75 W,"Dec, 2017.",['POWERCOLOR RX 580']
361,EVGA 1080TI FTW3 HYBRID (CORE+125 MEM+500),11 GB DDR5,865,XMR-STAK 2.1.0,WINDOWS 10 x64,N/A,"Dec, 2017.",['EVGA 1080TI FTW3 HYBRID (CORE+125 MEM+500)']
362,XFX R9 290 REF MOD BIOS 1150/1500,4 GB DDR5,862,SGMINER,WINDOWS 10 x64,164 W,"Sep, 2017.",['XFX R9 290 REF MOD BIOS 1150/1500']
363,FURY X,4 GB DDR5,860,CLAYMORE 9.5,WINDOWS 10 x64,375 W,"Oct, 2016.",['FURY X']
364,MSI RX 570 ARMOR (USRBB BIOS MOD) AT 2070MHZ,4 GB DDR5,860,XMR-STAK-AMD,UBUNTU 16.04 x64,78 W,"Dec, 2017.",['MSI RX 570 ARMOR (USRBB BIOS MOD) AT 2070MHZ']
365,MSI RX 480 GAMING X 8G,8 GB DDR5,860,CLAYMORE 10.2,WINDOWS 10 x64,N/A,"Dec, 2017.",['MSI RX 480 GAMING X 8G']
366,R9 290 VAPOR X,4 GB DDR5,856,"CLAYMORE 10.2, AMD DRIVERS: 17.11, CLOCK: 1110/1534, +50MV, +50% POWER LIMIT",WINDOWS 7 x64,N/A,"Dec, 2017.",['R9 290 VAPOR X']
367,POWERCOLOR R9 NANO,4 GB HBM MEMORY,855,CLAYMORE 10.2,WINDOWS 7 x64,175 W,"Nov, 2017.",['POWERCOLOR R9 NANO']
368,POWERCOLOR RED DEVIL RX 580,8 GB DDR5,855,XMRIG THREADS=2 INTENSITY=1198 WORKSIZE=8 CORE=1200 MEM=2250,WINDOWS 10 x64,N/A,"Dec, 2017.",['POWERCOLOR RED DEVIL RX 580']
369,SAPPHIRE R9 390 NITRO TRI-X OC WITH BACKPLATE,8 GB DDR5,852,CLAYMORE CRYPTONOTE AMD GPU MINER V10.2 BETA,WINDOWS 10 x64,125 W,"Dec, 2017.",['SAPPHIRE R9 390 NITRO TRI-X OC WITH BACKPLATE']
370,SAPHIRE NITRO+ RX 480 (SAMSUNG),8 GB DDR5,852,CLAYMORE XMR 10.2,WINDOWS 10 x64,137 W,"Dec, 2017.",['SAPHIRE NITRO+ RX 480 (SAMSUNG)']
371,SAPPHIRE R9 NANO,4 GB HBM MEMORY,851,CLAYMORE CRYPTONIGHT 10.2,UBUNTU 15.10 x64,144 W,"Dec, 2017.",['SAPPHIRE R9 NANO']
372,POWERCOLOR RED DEVIL RX 580,8 GB DDR5,851,SGMINER-GM 5.5.5,WINDOWS 10 x64,75 W,"Dec, 2017.",['POWERCOLOR RED DEVIL RX 580']
373,SAPPHIRE R9 290,4 GB DDR5,850,"WOLFS GPU MINER THREADS 2 INTENSITY 800, 1075/1500",WINDOWS 10 x64,N/A,"Jan, 2017.",['SAPPHIRE R9 290']
374,RX 480 ROG STRIX,8 GB DDR5,850,SGMINER-GM,WINDOWS 10 x64,110 W,"Jul, 2017.",['RX 480 ROG STRIX']
375,"SAPPHIRE PULSE RX 570 (MOD ROM, RAM ELPIDA 2GHZ)",4 GB DDR5,850,XMR STAK AMD,WINDOWS 10 x64,100 W,"Nov, 2017.","['SAPPHIRE PULSE RX 570 (MOD ROM, RAM ELPIDA 2GHZ)']"
376,1080 GTX,8 GB DDR5,850,MINERGATE 7.2,WINDOWS 10 x64,180 W,"Dec, 2017.",['1080 GTX']
377,RX 570,4 GB DDR5,850,CAST XMR,WINDOWS 10 x64,75 W,"Dec, 2017.",['RX 570']
378,SAPPHIRE RX 570 ITX BIOS MOD (1111C/2000M),4 GB DDR5,850,CAST XMR,WINDOWS 10 x64,120 W,"Dec, 2017.",['SAPPHIRE RX 570 ITX BIOS MOD (1111C/2000M)']
379,MSI R9 290 4G GAMING(1070 CORE CLOCK/ 1300 MEM),4 GB DDR3,850,CLAYMORE 11,WINDOWS 10 x64,N/A,"Dec, 2017.",['MSI R9 290 4G GAMING(1070 CORE CLOCK/ 1300 MEM)']
380,"RX 570 SAPPHIRE NITRO + MICRON (ONE CLICK MEM, CORE 1300, MEM 2100) UV -15%",8 GB DDR3,850,CLAYMORE V11.1,WINDOWS 10 x64,110 W,"Jan, 2018.","['RX 570 SAPPHIRE NITRO', 'MICRON (ONE CLICK MEM, CORE 1300, MEM 2100) UV -15%']"
381,GF-GT520,1 GB DDR3,840,MINERGATE V.6.8,WINDOWS 7 x64,N/A,"Sep, 2017.",['GF-GT520']
382,XFX RX 470 BLACK EDITION,4 GB DDR5,840,XMR-STAK 2.1.0 + CUSTOM TIMING & INTENSITY TWEAK,WINDOWS 10 x64,65 W,"Dec, 2017.",['XFX RX 470 BLACK EDITION']
383,RX 570 ARMOR 8GC OC (1268/2150),8 GB DDR5,840,"CAST XMR, RADEON BLOCKCHAIN DRIVERS.",WINDOWS 10 x64,107 W,"Dec, 2017.",['RX 570 ARMOR 8GC OC (1268/2150)']
384,R9 390 NITRO BACKPLATE EDITION,8 GB DDR5,839,CLAYMORE CRYPTONOTE AMD GPU MINER V10.2 BETA,WINDOWS 10 x64,N/A,"Nov, 2017.",['R9 390 NITRO BACKPLATE EDITION']
385,RX 580 NITRO+ OC 8GB (MEM 2250MHZ),8 GB DDR5,839,XMR STAK AMD,WINDOWS 10 x64,N/A,"Dec, 2017.",['RX 580 NITRO+ OC 8GB (MEM 2250MHZ)']
386,RX 480,8 GB DDR5,835,CLAYMORE CRYPTONOTE GPU MINER V9.6 BETA - POOL,WINDOWS 10 x64,90 W,"Jan, 2017.",['RX 480']
387,GIGABYTE AUROS RX 580 4GB,4 GB DDR5,833,XMR-STARK,WINDOWS 10 x64,N/A,"Dec, 2017.",['GIGABYTE AUROS RX 580 4GB']
388,ASUS STRIX R9 390X,8 GB DDR5,832,CLAYMORE 9.7,WINDOWS 7 x64,N/A,"Sep, 2017.",['ASUS STRIX R9 390X']
389,ASUS DUAL RX 480,8 GB DDR5,830,XMR STAK AMD 1323/2054  SAMSUNG UBER-MIX,WINDOWS 10 x64,78 W,"May, 2017.",['ASUS DUAL RX 480']
390,AMD R9 NANO  1100 MHZ,4 GB HBM MEMORY,830,SGMINER-GM-5-5-5-WINDOWS,WINDOWS 10 x64,175 W,"Jun, 2017.",['AMD R9 NANO  1100 MHZ']
391,ASUS STRIX R9 390X,8 GB DDR5,830,CLAYMORE CRYPTONOTE GPU MINER V9.7,WINDOWS 10 x64,N/A,"Oct, 2017.",['ASUS STRIX R9 390X']
392,SAPPHIRE R9 290X TRI-X / 1100/1500,4 GB DDR5,830,"XMR-STAK-AMD (1008 INTENSITY, 8 WORKSIZE)",WINDOWS 10 x64,N/A,"Dec, 2017.","['SAPPHIRE R9 290X TRI-X', '1100/1500']"
393,GIGABYTE G1 GAMING R9 390 8GB,8 GB DDR5,830,CLAYMORE CRYPTONOTE AMD GPU MINER V11.0 - POOL,WINDOWS 10 x64,N/A,"Dec, 2017.",['GIGABYTE G1 GAMING R9 390 8GB']
394,MSI R9 390,8 GB DDR5,828,SGMINER 5.5.5-GM,WINDOWS 10 x64,215 W,"Nov, 2017.",['MSI R9 390']
395,SAPPHIRE R9 290X 8GB,8 GB DDR5,826,"CLAYMORE 10.2 (POWER LIMIT +10%, CORE 1090, MEM 1450)",WINDOWS 7 x64,N/A,"Dec, 2017.",['SAPPHIRE R9 290X 8GB']
396,MSI RX 480 4GB GAMING X,4 GB DDR5,825,SGMINER-GM 5.5.5/ 1316 CC/1900 MC/1500 STRAPS,WINDOWS 10 x64,75 W,"Feb, 2017.",['MSI RX 480 4GB GAMING X']
397,TITAN X PASCAL,12 GB DDR5,825,XMR-STAK,WINDOWS 10 x64,189 W,"May, 2017.",['TITAN X PASCAL']
398,MSI RX 580 ARMOR OC,8 GB DDR5,825,CLAYMORE GPU MINER/ STOCK BIOS AT 60Â°C,WINDOWS 10 x64,90 W,"May, 2017.",['MSI RX 580 ARMOR OC']
399,XFX RX 480 GTR 8GB BLACK EDITION (SAMSUNG),8 GB DDR5,825,"CLAYMORE 9.7 (Power draw measured with ELV Energy Master Basic II (gfx only),  Firmware flashed to RX 580,  UberMix v3.1 mem strap applied,  1200MHZ/2025MHZ @ 0.875V)  ",WINDOWS 7 x64,114 W,"Sep, 2017.",['XFX RX 480 GTR 8GB BLACK EDITION (SAMSUNG)']
400,EVGA 980TI SC CLASSIFIED / EKWB WATERBLOCK,6 GB DDR5,825,XMRMINER 0.2.1,WINDOWS 10 x64,175 W,"Dec, 2017.","['EVGA 980TI SC CLASSIFIED', 'EKWB WATERBLOCK']"
401,FURY X,4 GB DDR3,820,CLAYMORE CRYPTONOTE GPU MINER 9.7 BETA,WINDOWS 10 x64,200 W,"Nov, 2017.",['FURY X']
402,GIGABYTE GAMING G1 RX 570,4 GB DDR5,820,CLAYMORE 10.2,WINDOWS 10 x64,130 W,"Dec, 2017.",['GIGABYTE GAMING G1 RX 570']
403,RX 580 4GB,4 GB DDR5,820,CLAYMORE 10.2,WINDOWS 10 x64,120 W,"Dec, 2017.",['RX 580 4GB']
404,GIGABYTE AORUS RX 570,4 GB DDR5,820,"XMR- AEON - SUMO - STAK 2.0 (CLOCK: 1280 MEM: 2080 , DOUBLE THREADS INTENSITY 768, WORKSIZE 8)",WINDOWS 10 x64,100 W,"Dec, 2017.",['GIGABYTE AORUS RX 570']
405,RADEON POWER COLOR RED DRAGON RX 480 4GB SAMSUNG,4 GB DDR5,819,XMR-STAK-AMD,UBUNTU 16.04 x64,100 W,"Sep, 2017.",['RADEON POWER COLOR RED DRAGON RX 480 4GB SAMSUNG']
406,RX 560 SAPHIRE+RX 560 POWERCOLOR MODED BIOS,4 GB DDR5,817,CLAYMORE 10.2 BETA,WINDOWS 10 x64,74 W,"Dec, 2017.",['RX 560 SAPHIRE+RX 560 POWERCOLOR MODED BIOS']
407,ASUS STRIX RX 470,4 GB DDR5,816,XMR STAK AMD 1322/1930 ELPIDA ETH RU TIMINGS,WINDOWS 10 x64,78 W,"May, 2017.",['ASUS STRIX RX 470']
408,SAPPHIRE R9 290 TRI-X OC,4 GB DDR5,816,CLAYMORE's 9.7,WINDOWS 7 x64,N/A,"Jun, 2017.",['SAPPHIRE R9 290 TRI-X OC']
409,GIGABYTE RX 580 GAMING 4GB/BIOS MOD/ MEM@2075MHZ,4 GB DDR5,814,"XMR-STAK-WIN64, 2 THREAD, -512 -4 EACH",WINDOWS 10 x64,125 W,"Dec, 2017.",['GIGABYTE RX 580 GAMING 4GB/BIOS MOD/ MEM@2075MHZ']
410,AMD R9 390X NITRO,8 GB DDR5,812,"WOLFS MINER (2 THREADS, RAWINTENSITY 1396, WORKSIZE 8)",UBUNTU 16.04 x64,N/A,"Nov, 2016.",['AMD R9 390X NITRO']
411,MSI-RADEON-RX-580-ARMOR-8G-OC (BIOS MOD),8 GB DDR5,810,CLAYMORE 10.2,WINDOWS 10 x64,150 W,"Nov, 2017.",['MSI-RADEON-RX-580-ARMOR-8G-OC (BIOS MOD)']
412,GIGABYTE AUROS RX 580 4GB,4 GB DDR5,810,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Dec, 2017.",['GIGABYTE AUROS RX 580 4GB']
413,POWERCOLOR RX 580 RED DRAGON / HYNIX / 1150/2100,4 GB DDR5,810,"XMR-STAK-AMD (2 THREADS, EACH 512 INTENSITY, 4 WORKSIZE)",WINDOWS 10 x64,90 W,"Dec, 2017.","['POWERCOLOR RX 580 RED DRAGON', 'HYNIX', '1150/2100']"
414,AMD RADEON 6990,4 GB DDR5,810,WINMINER/CLAYMORE 9.7 (975 CORE /200 MEMORY 1175 MV) 80% FAN 68Â°C,WINDOWS 10 x64,350 W,"Dec, 2017.",['AMD RADEON 6990']
415,XFX RADEON RX 580 8 GB (SAMSUNG),8 GB DDR5,810,XMR-STAK V 2.1.0,WINDOWS 10 x64,N/A,"Dec, 2017.",['XFX RADEON RX 580 8 GB (SAMSUNG)']
416,RX 580,4 GB DDR5,810,CLAYMORE 11.2,WINDOWS 10 x64,85 W,"Jan, 2018.",['RX 580']
417,POWERCOLOR RX 570 (OVERCLOCKED),4 GB DDR3,809,CLAYMORE 10.2,WINDOWS 7 x64,65 W,"Nov, 2017.",['POWERCOLOR RX 570 (OVERCLOCKED)']
418,XFX GTS XXX RX 580 4GB (-6 +50 1434 2000 MEMSHIFT 1500),4 GB DDR5,808,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.",['XFX GTS XXX RX 580 4GB (-6 +50 1434 2000 MEMSHIFT 1500)']
419,SAPPHIRE PULSE RX 580 4GB BIOS MOD ELPIDA,4 GB DDR5,807,CLAYMORE 10.2,WINDOWS 10 x64,100 W,"Dec, 2017.",['SAPPHIRE PULSE RX 580 4GB BIOS MOD ELPIDA']
420,SAPPHIRE R9-FURY TRIXX,4 GB HBM MEMORY,806,WOLF_XMR_MINER V0.4   1100MHZ,WINDOWS 10 x64,225 W,"Jan, 2017.",['SAPPHIRE R9-FURY TRIXX']
421,RX 470,4 GB DDR5,806,XMR-STAK-AMD,UBUNTU 16.04 x64,N/A,"Aug, 2017.",['RX 470']
422,AMD RADEON 6990  CLOCKS (975/200),4 GB DDR3,806,WINMINER/CLAYMORE 9.7,WINDOWS 10 x64,350 W,"Dec, 2017.",['AMD RADEON 6990  CLOCKS (975/200)']
423,AMD  RADEON 6990,4 GB DDR5,805,"CRYPTONOTE 9.7 (-10% POWER , 950/1500 CLOCK ,1175MV)",WINDOWS 10 x64,350 W,"Dec, 2017.",['AMD  RADEON 6990']
